address,postcode,lat,lon
"Unit 2 The Invicta Centre, Barking IG11 0BA",IG11 0BA,51.53218765,0.10796225
71-73 Hackney Road,,51.5308158,-0.072308
"Unit 1A and Unit 1B Ground Floor 54, Conduit Street, Leicester. LE2 0JN",LE2 0JN,52.6317875,-1.12202075
"Unit 3, Avonside Industrial Park, Feeder Road,
St. Philips, Bristol",,,
"UNIT 11 THOMAS TRADE CENTRE, THOMAS ROAD",,,
Capitol Way 34,,41.8037212,-72.2408639
Unit 18 Wates Way BEDDINGTON London CR4 4HR,CR4 4HR,51.3885774,-0.1647679
"2 Reform Trade Park, Reform, Road Maidenhead SL6 8EQ",SL6 8EQ,51.5205958,-0.7107642
"Unit 11 Lyndean Industrial Estate, Felixstowe Road, Abbey Wood, London SE2 9SG",SE2 9SG,51.49251,0.11931
133 Portswood Road,,-33.9064337,18.4163087
"Unit E10 Voyager Park, Portfield Road, Copnor, Portsmouth, Hampshire PO3 5FL",PO3 5FL,50.82191,-1.05837
Unit 3 Liffords Place Barnes High Street London SW13 9LR,SW13 9LR,51.4733891,-0.2496533
"22-23 Arcadia Avenue, Finchley, London",,51.5995502,-0.1947384
Farringdon Road 95 / 9 Herball Hill,,,
87 NORTH WESTERN STREET M12 6HU,M12 6HU,53.47404175,-2.2203465
"Unit 13 Thornham Grove Industrial Estate, Thornham Grove, London, E15 1DN",E15 1DN,51.5471612,-0.0021198384615384617
"Ground floor of 81 b & c London Road, Portsmouth, PO2 8RS",PO2 8RS,,
"1 Coldhams Road, Coldhams, Cambridge",,,
"Kennington Park, Cranmer House, 39 Brixton Road",,,
"Unit 5 (ground floor), 2 Overbury Road, Tottenham, Harningey, London N15 6RH",N15 6RH,51.5757983,-0.0866487
"Unit 24, Uplands Business Park, Blackhorse Lane, Walthamstow E17 5QN",E17 5QN,,
"UNIT 6 Orchard Business Centre, Kangley Bridge Road, Sydenham, London SE26 5AQ",SE26 5AQ,51.42628,-0.03594
"Unit 21 Acton Park Estate, The Vale, Acton W3 7QE",W3 7QE,51.50523,-0.25766
Arch 154 Martha Street London E1 2PG,E1 2PG,51.51191,-0.0557
"UK - Unit 4H, Crossley Park, Stockport",,,
"Unit 4, Woodman Works, Durnsford Road, Wimbledon, SW19 8DR",SW19 8DR,51.4340096,-0.19653283333333332
"Units 1&2, Newtown Road Newtown Trade Park, Hove",,,
"Unit 9, Wembley Trade Park, 390 North Circular Road, Wembley, London, NW10 0JF",NW10 0JF,51.5523104,-0.2551902
"UNITS 1 & 2 BARRATT INDUSTRIAL ESTATE, 28-40 ERNEST AVENUE, LONDON, SE27 0DJ",SE27 0DJ,51.42988,-0.10316
"Unit 5 Mountbatten Business Park, Jackson Close, Portsmouth, Hampshire PO6 1US",PO6 1US,50.83941,-1.04279
Unit 22 Malham Industrial Estate,,,
"Arch 141 and Land, Newport Street, Vauxhall SE11 6AQ",SE11 6AQ,51.4926699,-0.11816
"Unit 2, Ground Floor, 37a Skeltons Lane, London, E10 5BT",E10 5BT,51.57138,-0.01001
"Units 8 & 9 Lower Goods Yard off Trafalgar
Street, Brighton, BN1 4FQ",BN1 4FQ,50.82901005,-0.14037555
"Unit 15 Heathway Industrial Estate, Manchester Way, Dagenham, Essex RM10 8PN",RM10 8PN,51.549,0.15748
"Unit 14 Capitol Industrial Park, Capitol Way, Colindale, London NW9 0EQ",NW9 0EQ,51.59464,-0.26449
"Unit 21 Zennor Trade Park, Balham, London SW12 0PS",SW12 0PS,51.44502,-0.14464
"Unit 16 Raymouth Road, London SE16 2DB",SE16 2DB,51.49137567631579,-0.0575480447368421
"67-69 Holmes Road, Kentish Town",,,
5-8 Argall Avenue E10 7QE,E10 7QE,51.5701604,-0.04080025
Arch 5 Holloway Road London N7 8HS,N7 8HS,,
"Units 18 & 19 Resolution Way, Deptford SE8 4NT",SE8 4NT,51.478606725,-0.02483825
"Unit 4 and 5, Brook Lane Business Centre, Brook Lane North, Brentford, TW8 0PP",TW8 0PP,51.48888,-0.30403
"Unit 199 Bellendon Road, London SE16 4QJ",SE16 4QJ,51.49705,-0.06621
"Units 116 & 119 Cannon Workshops, Cannon Drive, London E14 4AS",E14 4AS,51.5074176,-0.02646486666666667
"Arch 33, Water Street, Birmingham B4 6GA",B4 6GA,52.48413075,-1.898936
Unit 8 Kubrick Business Estate (Arch 417 Station Approach) London E7 0LA,E7 0LA,51.55152275,0.027899875
"Ground floor, Dudley House, North Wharf Road W2 1JP",W2 1JP,51.5193,-0.17712
